Country,Date,CPI Inflation,Exchange Rate, Lending Interest Rate,World Oil Price,Global Economic Activity,wop_lag1,wop_lag2,gea_lag1,wop_pct_change,oil_moving_average,gea_moving_average,wop_volatility,Global_Pressure_Index,EXR_Log_Returns,CPI Inflation_Lag1,CPI Inflation_Lag2, Lending Interest Rate_Lag1, Lending Interest Rate_Lag2,EXR_Log_Returns_Lag1,EXR_Log_Returns_Lag2
S. AFRICA,01/05/2018,4.347826087,12.57885369,10.0,69.89869565,-18.362517,66.31380952,62.83045455,-31.867615,0.0540594207443141,63.79042135666666,-31.25525966666667,2.2060496856634724,-0.1033922629232417,0.0117870860482574,4.237288136,3.757575758,10.0,10.0,0.04637964374013803,0.009922151975641835
S. AFRICA,01/06/2018,4.337349398,13.77110767,10.0,67.87619048,-13.823245,69.89869565,66.31380952,-18.362517,-0.0289348055953314,66.34765324,-26.604938333333337,3.534242084233721,-0.0603575752902015,0.09055562481989154,4.347826087,4.237288136,10.0,10.0,0.0117870860482574,0.04637964374013803
S. AFRICA,01/07/2018,5.054151625,13.08540846,10.0,71.07454545,6.1850923,67.87619048,69.89869565,-13.823245,0.0471204254007509,68.02956521666665,-21.35112566666667,1.7973577825939708,-0.0117064353878089,-0.05107499892776968,4.337349398,4.347826087,10.0,10.0,0.09055562481989154,0.0117870860482574
S. AFRICA,01/08/2018,4.807692308,14.7175915,10.0,67.9273913,9.7456858,71.07454545,67.87619048,6.1850923,-0.0442796240211481,69.61647719333332,-8.666889900000005,1.6177466029920349,0.002534987537701,0.1175457275984857,5.054151625,4.337349398,10.0,10.0,-0.05107499892776968,0.09055562481989154
S. AFRICA,01/09/2018,4.90430622,14.18375336,10.0,70.1905,-6.9930646,67.9273913,71.07454545,9.7456858,0.0333165849105705,68.95937574333333,0.702511033333329,1.8319695813498933,-0.0627186800784851,-0.03694629897561086,4.807692308,5.054151625,10.0,10.0,0.1175457275984857,-0.05107499892776968
S. AFRICA,01/10/2018,5.005959476,14.78565968,10.0,70.75304348,-0.50624529,70.1905,67.9273913,-6.9930646,0.008014524472685,69.73081224999999,2.979237833333329,1.623154161375148,-0.0399149285750584,0.04156059048935168,4.90430622,4.807692308,10.0,10.0,-0.03694629897561086,0.1175457275984857
S. AFRICA,01/11/2018,5.125148987,13.76244641,10.25,56.18818182,-26.207578,70.75304348,70.1905,-0.50624529,-0.2058549137058267,69.62364492666666,0.7487919699999956,1.4956841465384163,0.1369459055662921,-0.07171416237660022,5.005959476,4.90430622,10.0,10.0,0.04156059048935168,-0.03694629897561086
S. AFRICA,01/12/2018,4.507710558,14.37665691,10.25,48.91904762,-14.778814,56.18818182,70.75304348,-26.207578,-0.1293712301153794,65.71057509999999,-11.235629296666673,8.251429823125427,0.1887380485209788,0.04366223521886381,5.125148987,5.005959476,10.25,10.0,-0.07171416237660022,0.04156059048935168
S. AFRICA,01/01/2019,3.896103896,13.27725023,10.25,51.2273913,-37.313544,48.91904762,56.18818182,-14.778814,0.0471870118554036,58.62009097333333,-13.830879096666672,11.118294851332822,0.3091568960786438,-0.07955378173123329,4.507710558,5.125148987,10.25,10.25,0.04366223521886381,-0.07171416237660022
S. AFRICA,01/02/2019,4.107981221,13.95770814,10.25,54.996,-89.917774,51.2273913,48.91904762,-37.313544,0.0735662817169455,52.11154024666666,-26.09997866666667,3.7143461772324815,0.4523797098112821,0.04997984888964657,3.896103896,4.507710558,10.25,10.25,-0.07955378173123329,0.04366223521886381
