Country,Date,CPI Inflation,Exchange Rate, Lending Interest Rate,World Oil Price,Global Economic Activity,wop_lag1,wop_lag2,gea_lag1,wop_pct_change,oil_moving_average,gea_moving_average,wop_volatility,Global_Pressure_Index
KENYA,01/02/2015,5.608293885,91.4231,15.46710188,50.857,-105.95735,100.705,95.3095,-33.233261,-0.49499031825629314,99.43721430000001,-64.138442,3.662273714555214,0.7932331060100946
KENYA,01/02/2016,6.836719974,101.6971,17.85782543,30.37761905,-161.18476,50.857,100.705,-105.95735,-0.4026855880213147,82.2905,-71.950469,27.355557876782548,3.1344052125151025
KENYA,01/02/2017,9.293460308,103.3416667,13.69286615,53.45,-71.342363,30.37761905,50.857,-161.18476,0.7595190693524745,60.64653968333334,-100.12512366666665,36.171279258968376,0.43700336644826454
KENYA,01/02/2018,4.456285204,101.6166667,13.67554311,62.227,-32.313481,53.45,30.37761905,-71.342363,0.16420954162768941,44.89487301666667,-112.82815766666666,12.63898371308101,0.02106687544227494
KENYA,01/02/2019,4.136643325,100.0861111,12.47450932,54.996,-89.917774,62.227,53.45,-32.313481,-0.11620357722532015,48.684873016666664,-88.28020133333332,16.45070190295924,0.4523797098112817
KENYA,01/02/2020,7.173701153,100.9823529,12.18514234,50.608,-121.29713,54.996,62.227,-89.917774,-0.07978762091788505,56.891,-64.52453933333332,4.685317598626774,0.9174944860893156
KENYA,01/02/2021,5.776879236,109.8,12.01901448,59.2345,-2.9603552,50.608,54.996,-121.29713,0.1704572399620614,55.943666666666665,-81.17612833333332,5.8671836798701955,0.02584554992105419
KENYA,01/02/2022,5.084481144,113.8352941,12.16555213,91.608,11.5568,59.2345,50.608,-2.9603552,0.5465311600503087,54.94616666666667,-71.39175306666665,4.31346590149212,0.04408963900690498
KENYA,01/02/2023,9.230751463,126.8529412,13.05529775,77.0275,-94.781318,91.608,59.2345,11.5568,-0.15916186359269935,67.15016666666666,-37.566895066666646,21.61581213101498,-0.8098527455482536
KENYA,01/03/2000,5.951307484,74.8739,23.79,29.89217391,5.9956293,77.0275,91.608,-94.781318,-0.6119285461685762,75.95666666666666,-28.728291066666646,16.21329357605461,0.05257729820133131
KENYA,01/03/2001,9.446808511,77.8167,20.19,27.24136364,-2.4977829,29.89217391,77.0275,5.9956293,-0.08867907292327137,66.17589130333334,-25.74296289999998,32.25722951482289,0.2283702869117872
KENYA,01/03/2002,1.99844479,78.0578,18.87,24.50809524,-36.225424,27.24136364,29.89217391,-2.4977829,-0.10033522683081075,44.72034585,-30.427823866666646,28.010191997303117,0.9790791289076379
